"ech","type","date","parcelle","trt","block","sub_ech","poids","vol_saline","Filtre","temoin","run","Plaque_PCR","rep_seq","rep_run","pseudo_count","bact_count","pseudo_rawcount","bact_rawcount","dil_rif","count_rif","dil_tsa","X"
"P104","P104","Seigle","Date 2","22","Seigle_Bru",6,2,4.58,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P105","P105","Seigle","Date 2","22","Seigle_Bru",6,3,5.31,"110",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P106","P106","Seigle","Date 2","24","Seigle",6,1,6.32,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P107","P107","Seigle","Date 2","24","Seigle",6,2,6.15,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P108","P108","Seigle","Date 2","24","Seigle",6,3,7.01,"110",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P109","P109","Seigle","Date 3","3","Seigle",1,1,12.99,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P110","P110","Seigle","Date 3","3","Seigle",1,2,18.5,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P111","P111","Seigle","Date 3","3","Seigle",1,3,16.19,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P112","P112","Seigle","Date 3","4","Seigle_Bru",1,1,18.17,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P113","P113","Seigle","Date 3","4","Seigle_Bru",1,2,15.94,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P114","P114","Seigle","Date 3","4","Seigle_Bru",1,3,13.46,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P115","P115","Seigle","Date 3","6","Seigle_Bru",2,1,11.84,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P116","P116","Seigle","Date 3","6","Seigle_Bru",2,2,18.2,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P117","P117","Seigle","Date 3","6","Seigle_Bru",2,3,12.57,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P118","P118","Seigle","Date 3","8","Seigle",2,1,11.65,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P119","P119","Seigle","Date 3","8","Seigle",2,2,15.09,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P120","P120","Seigle","Date 3","8","Seigle",2,3,20.56,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
