id,material,year,date
MP17-435,Rye,2017,Date 3
MP17-436,Rye,2017,Date 3
MP17-437,Rye,2017,Date 3
MP17-438,Rye,2017,Date 3
MP17-439,Rye,2017,Date 3
MP17-440,Rye,2017,Date 3
MP17-441,Rye,2017,Date 3
MP17-442,Rye,2017,Date 3
MP17-443,Rye,2017,Date 3
MP17-444,Rye,2017,Date 3
MP17-445,Rye,2017,Date 3
MP17-446,Rye,2017,Date 3
MP17-447,Rye,2017,Date 3
MP17-448,Rye,2017,Date 3
MP17-449,Rye,2017,Date 3
MP17-450,Rye,2017,Date 3
MP17-451,Rye,2017,Date 3
MP17-452,Rye,2017,Date 3
MP17-453,Rye,2017,Date 3
MP17-454,Rye,2017,Date 3
MP17-455,Rye,2017,Date 3
MP17-456,Rye,2017,Date 3
MP17-457,Rye,2017,Date 3
MP17-458,Rye,2017,Date 3
MP17-459,Rye,2017,Date 3
MP17-460,Rye,2017,Date 3
MP17-461,Rye,2017,Date 3
MP17-462,Rye,2017,Date 3
MP17-463,Rye,2017,Date 3
MP17-464,Rye,2017,Date 3
MP17-465,Rye,2017,Date 3
MP17-466,Rye,2017,Date 3
MP17-467,Rye,2017,Date 3
MP17-468,Rye,2017,Date 3
MP17-469,Rye,2017,Date 3
MP17-470,Rye,2017,Date 3
MP17-471,Rye,2017,Date 3
MP17-472,Rye,2017,Date 3
MP17-473,Rye,2017,Date 3
MP17-474,Rye,2017,Date 3
MP17-475,Rye,2017,Date 3
MA17-476,Air,2017,Date 3
MA17-477,Air,2017,Date 3
MA17-478,Air,2017,Date 3
MA17-479,Air,2017,Date 3
MA17-480,Air,2017,Date 3
MA17-481,Air,2017,Date 3
MA17-482,Air,2017,Date 3
MA17-483,Air,2017,Date 3
MA17-484,Air,2017,Date 3
MA17-485,Air,2017,Date 3
MA17-486,Air,2017,Date 3
MA17-487,Air,2017,Date 3
MA17-488,Air,2017,Date 3
MA17-489,Air,2017,Date 3
MA17-490,Air,2017,Date 3
MA17-491,Air,2017,Date 3
MA17-492,Air,2017,Date 3
MA17-493,Air,2017,Date 3
MA17-494,Air,2017,Date 3
MA17-495,Air,2017,Date 3
MA17-496,Air,2017,Date 3
MA17-497,Air,2017,Date 3
MA17-498,Air,2017,Date 3
MA17-499,Air,2017,Date 3
MA17-500,Air,2017,Date 3
MA17-501,Air,2017,Date 3
ME17-502,Rainwater,2017,Date 3
ME17-503,Rainwater,2017,Date 3
ME17-504,Rainwater,2017,Date 3
ME17-505,Rainwater,2017,Date 3
ME17-506,Rainwater,2017,Date 3
ME17-507,Rainwater,2017,Date 3
ME17-508,Rainwater,2017,Date 3
ME17-509,Rainwater,2017,Date 3
ME17-510,Rainwater,2017,Date 3
ME17-511,Rainwater,2017,Date 3
ME17-512,Rainwater,2017,Date 3
ME17-513,Rainwater,2017,Date 3
ME17-514,Rainwater,2017,Date 3
ME17-515,Rainwater,2017,Date 3
ME17-516,Rainwater,2017,Date 3
ME17-517,Rainwater,2017,Date 3
ME17-518,Rainwater,2017,Date 3
ME17-519,Rainwater,2017,Date 3
ME17-520,Rainwater,2017,Date 3
ME17-521,Rainwater,2017,Date 3
ME17-522,Rainwater,2017,Date 3
ME17-523,Rainwater,2017,Date 3
ME17-524,Rainwater,2017,Date 3
ME17-525,Rainwater,2017,Date 3
ME17-526,Rainwater,2017,Date 3
